SPPARKS (08 Oct 2025)
seed 12345
app_style surface/rxn
solve_style tree

dimension 2
lattice sq/4n 1.0
region box block 0 128 0 128 -0.5 0.5
create_box box
Created box = (0 0 -0.5) to (128 128 0.5)
  1 by 1 by 1 processor grid
create_sites box
Creating sites ...
  16384 sites
  16384 sites have 4 neighbors

# surface species mapping (0 = *, 1 = A*, 2 = B*)
species A 1
species B 2

# initialize lattice
set site value 0
  16384 settings made for site
set site value 1 fraction 0.25 if site = 0
  4048 settings made for site
set site value 2 fraction 0.25 if site = 0
  3148 settings made for site

# gas concentration for k1 c_A
gas A 1.0

# surface diffusion
diffusion A 0.2
diffusion B 0.2

# A* + * -> 2A*   rate = k1 * c_A
reaction A * -> A A 1.0 gas A

# A* + B* -> 2B*  rate = k2
reaction A B -> B B 1.0

# B* + * -> 2* + B(g)  rate = k3
reaction B * -> * * 0.1

stats 0.01
run 100.0
Setting up run ...
Running with 32-bit site IDs
Memory usage per processor = 1.625 Mbytes
      Time    Naccept    Nreject    Nsweeps        CPU
     12.31      57746          0          0      0.137
   12.3202      57778          0          0      0.137
   12.3309      57814          0          0      0.137
   12.3404      57833          0          0      0.137
   12.3501      57855          0          0      0.137
   12.3607      57890          0          0      0.137
   12.3703      57913          0          0      0.138
     12.38      57937          0          0      0.138
   12.3913      57972          0          0      0.138
   12.4001      57995          0          0      0.138
   12.4104      58020          0          0      0.138
   12.4202      58036          0          0      0.138
   12.4302      58062          0          0      0.138
   12.4401      58080          0          0      0.138
   12.4511      58106          0          0      0.138
   12.4601      58130          0          0      0.138
   12.4706      58152          0          0      0.138
   12.4811      58185          0          0      0.138
   12.4904      58205          0          0      0.138
   12.5002      58232          0          0      0.138
   12.5101      58259          0          0      0.139
   12.5202      58283          0          0      0.139
   12.5303      58304          0          0      0.139
   12.5401      58340          0          0      0.139
     12.55      58371          0          0      0.139
   12.5609      58392          0          0      0.139
   12.5706      58413          0          0      0.139
   12.5822      58439          0          0      0.139
   12.5902      58468          0          0      0.139
      12.6      58486          0          0      0.139
   12.6104      58509          0          0      0.139
     12.62      58524          0          0      0.139
   12.6301      58549          0          0      0.139
   12.6405      58575          0          0      0.139
   12.6505      58607          0          0      0.139
   12.6604      58629          0          0      0.139
   12.6706      58650          0          0       0.14
   12.6802      58674          0          0       0.14
   12.6901      58702          0          0       0.14
   12.7001      58734          0          0       0.14
   12.7105      58759          0          0       0.14
   12.7202      58783          0          0       0.14
   12.7305      58810          0          0       0.14
   12.7415      58841          0          0       0.14
   12.7502      58863          0          0       0.14
   12.7606      58890          0          0       0.14
   12.7704      58919          0          0       0.14
   12.7807      58943          0          0       0.14
   12.7909      58967          0          0       0.14
   12.8006      58987          0          0       0.14
   12.8103      59013          0          0       0.14
   12.8207      59047          0          0      0.141
   12.8305      59071          0          0      0.141
   12.8403      59099          0          0      0.141
   12.8508      59122          0          0      0.141
   12.8612      59146          0          0      0.141
   12.8703      59172          0          0      0.141
     12.88      59195          0          0      0.141
   12.8906      59227          0          0      0.141
      12.9      59245          0          0      0.141
     12.91      59282          0          0      0.141
   12.9203      59313          0          0      0.141
   12.9301      59343          0          0      0.141
     12.94      59371          0          0      0.141
   12.9505      59387          0          0      0.141
   12.9601      59410          0          0      0.141
   12.9705      59434          0          0      0.141
   12.9801      59462          0          0      0.142
   12.9902      59489          0          0      0.142
   13.0003      59521          0          0      0.142
   13.0111      59549          0          0      0.142
   13.0206      59577          0          0      0.142
   13.0302      59590          0          0      0.142
   13.0407      59616          0          0      0.142
   13.0501      59645          0          0      0.142
   13.0604      59670          0          0      0.142
   13.0709      59694          0          0      0.142
   13.0808      59715          0          0      0.142
    13.091      59732          0          0      0.142
   13.1014      59755          0          0      0.142
   13.1104      59776          0          0      0.142
   13.1211      59800          0          0      0.142
   13.1306      59818          0          0      0.142
   13.1409      59844          0          0      0.142
   13.1504      59864          0          0      0.143
   13.1603      59890          0          0      0.143
     13.17      59918          0          0      0.143
   13.1805      59944          0          0      0.143
   13.1906      59967          0          0      0.143
   13.2005      59989          0          0      0.143
   13.2101      60010          0          0      0.143
   13.2202      60032          0          0      0.143
   13.2302      60050          0          0      0.143
   13.2408      60064          0          0      0.143
   13.2507      60090          0          0      0.143
   13.2612      60108          0          0      0.143
   13.2704      60125          0          0      0.143
   13.2815      60150          0          0      0.143
   13.2902      60169          0          0      0.143
   13.3002      60191          0          0      0.143
   13.3118      60218          0          0      0.143
   13.3201      60236          0          0      0.143
   13.3305      60263          0          0      0.143
     13.34      60286          0          0      0.144
   13.3503      60308          0          0      0.144
   13.3603      60328          0          0      0.144
   13.3706      60344          0          0      0.144
   13.3802      60362          0          0      0.144
   13.3909      60388          0          0      0.144
   13.4002      60413          0          0      0.144
   13.4103      60436          0          0      0.144
   13.4204      60456          0          0      0.144
   13.4305      60474          0          0      0.144
   13.4404      60488          0          0      0.144
   13.4503      60510          0          0      0.144
   13.4601      60528          0          0      0.144
   13.4711      60554          0          0      0.144
